activity_event_id,asset_id,geo,origin_measurement_timestamp,scope,category,activity,source,raw_data,units
2022_12_gas_265,gas_265,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,180.0,gal
2022_12_gas_264,gas_264,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,16629.33,gal
2022_12_gas_263,gas_263,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,7021.55,gal
2022_12_gas_262,gas_262,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,4669.39,gal
2022_12_gas_261,gas_261,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,2713.33,gal
2022_12_gas_260,gas_260,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,103.7,gal
2022_12_gas_259,gas_259,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,19.63,gal
2022_12_gas_258,gas_258,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,16.16,gal
2022_12_gas_257,gas_257,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,7.64,gal
2022_12_gas_256,gas_256,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,109.69,gal
2022_12_gas_255,gas_255,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,115.1,gal
2022_12_gas_254,gas_254,"[40.73061,-73.935242]",2022-12,1,mobile-combustion,Motor Gasoline - Gasoline Passenger Cars,carbon_accounting_demo,48.1,gal
